iter	Logloss
0	0.6821662191
1	0.6719052448
2	0.6626080917
3	0.6545066973
4	0.6461542695
5	0.6395057992
6	0.6333642997
7	0.6263793253
8	0.618847886
9	0.6135521079
10	0.6076420431
11	0.6018735547
12	0.5973178999
13	0.5923221428
14	0.5877711392
15	0.5844260774
16	0.5808247791
17	0.5768603522
18	0.5735574352
19	0.570080729
20	0.566551704
21	0.5639237065
22	0.5613503207
23	0.5582592835
24	0.5555613674
25	0.5533316425
26	0.5509467278
27	0.5483845407
28	0.5460186395
29	0.5436836434
30	0.5419737487
31	0.5402920354
32	0.5387802843
33	0.5367288327
34	0.5354270281
35	0.5334440843
36	0.5321529069
37	0.5305341088
38	0.5291869039
39	0.5281366999
40	0.5267858995
41	0.5258353501
42	0.5248640519
43	0.5241166328
44	0.5231781098
45	0.5219999236
46	0.5206394427
47	0.5196966028
48	0.5186418617
49	0.5176757669
50	0.5166986689
51	0.5159691972
52	0.5149398376
53	0.51379363
54	0.5128105193
55	0.5120437312
56	0.5112834709
57	0.510575973
58	0.5100080365
59	0.5091121123
60	0.5086430477
61	0.5077504528
62	0.5069085327
63	0.5062533688
64	0.5055414396
65	0.5046898706
66	0.5041408865
67	0.5036832892
68	0.5030689953
69	0.502533719
70	0.5019237184
71	0.5014494663
72	0.5008154929
73	0.5001986445
74	0.4995633079
75	0.4989496734
76	0.4983891605
77	0.4980326781
78	0.4976170282
79	0.496993451
80	0.4964702905
81	0.4959287572
82	0.4954902587
83	0.4949075451
84	0.4945263528
85	0.494067311
86	0.4937151136
87	0.4933746472
88	0.4929088177
89	0.4924153154
90	0.4920108188
91	0.4916530729
92	0.4912985857
93	0.491035793
94	0.4906383334
95	0.4904474542
96	0.4899465593
97	0.4896013183
98	0.4892316462
99	0.4888248266
