iter	Passed	Remaining
0	0	31
1	0	26
2	0	24
3	0	23
4	1	22
5	1	21
6	1	20
7	1	19
8	1	19
9	3	29
10	3	28
11	3	27
12	3	26
13	4	25
14	4	24
15	4	24
16	4	23
17	4	22
18	5	22
19	5	21
20	5	20
21	5	20
22	5	20
23	6	19
24	6	19
25	6	18
26	6	18
27	6	17
28	7	17
29	7	17
30	7	16
31	7	16
32	7	16
33	8	15
34	8	15
35	8	15
36	8	14
37	9	14
38	9	14
39	9	14
40	9	13
41	9	13
42	9	13
43	10	12
44	10	12
45	10	12
46	10	12
47	11	11
48	11	11
49	11	11
50	11	11
51	11	11
52	12	10
53	12	10
54	12	10
55	12	10
56	12	9
57	13	9
58	13	9
59	13	9
60	13	8
61	13	8
62	14	8
63	14	8
64	14	7
65	14	7
66	15	7
67	15	7
68	15	6
69	15	6
70	15	6
71	16	6
72	16	6
73	16	5
74	16	5
75	16	5
76	17	5
77	17	4
78	17	4
79	17	4
80	17	4
81	18	3
82	18	3
83	18	3
84	18	3
85	19	3
86	19	2
87	19	2
88	19	2
89	19	2
90	19	1
91	20	1
92	20	1
93	20	1
94	20	1
95	21	0
96	21	0
97	21	0
98	21	0
99	21	0
