iter	Passed	Remaining
0	15	15282
1	25	12691
2	38	12842
3	49	12381
4	62	12377
5	73	12225
6	86	12200
7	97	12146
8	103	11377
9	107	10669
10	112	10074
11	116	9563
12	120	9145
13	124	8767
14	128	8446
15	132	8165
16	136	7908
17	141	7695
18	145	7504
19	149	7329
20	153	7163
21	157	7012
22	161	6872
23	165	6744
24	170	6634
25	174	6536
26	178	6438
27	182	6347
28	186	6257
29	190	6175
30	195	6101
31	199	6026
32	203	5961
33	207	5902
34	211	5838
35	215	5781
36	220	5729
37	224	5675
38	228	5624
39	232	5576
40	236	5529
41	240	5489
42	244	5449
43	248	5407
44	253	5374
45	258	5355
46	262	5318
47	266	5285
48	270	5250
49	274	5218
50	278	5186
51	282	5155
52	286	5127
53	290	5096
54	294	5067
55	299	5041
56	303	5016
57	307	4991
58	311	4967
59	315	4943
60	319	4919
61	323	4896
62	327	4877
63	331	4854
64	335	4832
65	340	4816
66	344	4795
67	348	4776
68	352	4759
69	357	4743
70	361	4726
71	365	4709
72	369	4690
73	373	4672
74	377	4658
75	381	4642
76	385	4626
77	389	4608
78	393	4592
79	398	4578
80	402	4563
81	406	4548
82	410	4532
83	414	4517
84	418	4503
85	422	4488
86	426	4472
87	430	4459
88	436	4470
89	440	4456
90	444	4444
91	448	4429
92	452	4415
93	456	4403
94	460	4391
95	465	4380
96	469	4370
97	473	4358
98	477	4347
99	481	4335
100	485	4325
101	490	4314
102	494	4303
103	498	4293
104	502	4283
105	506	4273
106	510	4263
107	515	4253
108	519	4242
109	523	4233
110	527	4223
111	531	4215
112	535	4205
113	540	4197
114	544	4187
115	548	4177
116	552	4167
117	556	4157
118	560	4148
119	564	4139
120	568	4130
121	572	4122
122	576	4113
123	581	4107
124	585	4099
125	589	4090
126	593	4082
127	598	4073
128	602	4065
129	606	4059
130	610	4050
131	614	4042
132	618	4034
133	623	4027
134	627	4019
135	631	4010
136	635	4003
137	639	3997
138	643	3988
139	648	3980
140	652	3972
141	656	3964
142	660	3956
143	664	3948
144	668	3941
145	672	3934
146	676	3927
147	680	3920
148	685	3912
149	688	3904
150	693	3896
151	697	3890
152	701	3884
153	705	3877
154	709	3869
155	713	3862
156	718	3855
157	722	3848
158	726	3841
159	730	3834
160	734	3826
161	738	3820
162	742	3814
163	746	3807
164	752	3807
165	760	3821
166	769	3838
167	773	3833
168	778	3827
169	782	3819
170	786	3813
171	791	3808
172	795	3801
173	799	3794
174	803	3789
175	808	3782
176	812	3775
177	816	3768
178	820	3761
179	824	3754
180	828	3747
181	832	3740
182	836	3735
183	841	3734
184	846	3727
185	850	3720
186	854	3714
187	858	3707
188	862	3701
189	866	3695
190	870	3689
191	877	3694
192	885	3703
193	889	3697
194	894	3690
195	898	3684
196	902	3678
197	906	3672
198	910	3666
199	915	3660
200	919	3654
201	923	3648
202	927	3641
203	931	3635
204	936	3630
205	940	3624
206	944	3617
207	948	3610
208	952	3604
209	956	3597
210	960	3592
211	965	3586
212	969	3580
213	974	3580
214	979	3575
215	983	3568
216	987	3562
217	991	3556
218	995	3549
219	999	3544
220	1003	3538
221	1008	3533
222	1012	3526
223	1016	3520
224	1020	3514
225	1024	3508
226	1028	3502
227	1032	3495
228	1037	3492
229	1041	3487
230	1045	3480
231	1049	3475
232	1053	3469
233	1058	3463
234	1062	3457
235	1066	3451
236	1070	3445
237	1074	3439
238	1078	3433
239	1082	3427
240	1086	3421
241	1090	3416
242	1094	3410
243	1098	3404
244	1102	3398
245	1107	3393
246	1111	3387
247	1115	3382
248	1119	3377
249	1123	3371
250	1127	3365
251	1131	3359
252	1136	3355
253	1140	3350
254	1144	3344
255	1148	3338
256	1152	3333
257	1157	3327
258	1161	3323
259	1165	3317
260	1170	3312
261	1174	3307
262	1178	3302
263	1182	3296
264	1186	3291
265	1190	3285
266	1194	3279
267	1198	3274
268	1202	3268
269	1206	3262
270	1211	3257
271	1215	3252
272	1219	3247
273	1223	3241
274	1227	3236
275	1231	3231
276	1236	3226
277	1240	3220
278	1244	3215
279	1248	3210
280	1252	3205
281	1256	3200
282	1261	3195
283	1265	3190
284	1269	3184
285	1273	3179
286	1277	3174
287	1281	3169
288	1286	3163
289	1289	3158
290	1294	3153
291	1298	3148
292	1302	3143
293	1306	3137
294	1310	3132
295	1314	3127
296	1318	3121
297	1322	3116
298	1326	3110
299	1330	3105
300	1335	3100
301	1339	3095
302	1343	3091
303	1348	3086
304	1352	3081
305	1356	3076
306	1360	3071
307	1364	3066
308	1369	3061
309	1373	3056
310	1377	3051
311	1381	3047
312	1385	3041
313	1390	3036
314	1394	3031
315	1398	3027
316	1402	3022
317	1406	3016
318	1410	3012
319	1415	3007
320	1419	3002
321	1423	2997
322	1430	2997
323	1434	2992
324	1438	2987
325	1442	2982
326	1446	2977
327	1450	2971
328	1454	2966
329	1458	2961
330	1462	2955
331	1466	2950
332	1470	2945
333	1474	2941
334	1478	2935
335	1482	2930
336	1487	2925
337	1491	2920
338	1495	2915
339	1499	2910
340	1503	2905
341	1507	2901
342	1512	2896
343	1516	2892
344	1520	2887
345	1525	2882
346	1529	2877
347	1533	2873
348	1537	2868
349	1542	2864
350	1546	2859
351	1550	2854
352	1554	2849
353	1558	2844
354	1563	2840
355	1567	2835
356	1571	2830
357	1575	2825
358	1579	2820
359	1584	2816
360	1588	2811
361	1592	2807
362	1597	2802
363	1601	2797
364	1605	2792
365	1609	2787
366	1613	2782
367	1617	2777
368	1621	2772
369	1625	2767
370	1629	2763
371	1634	2759
372	1638	2754
373	1642	2749
374	1646	2744
375	1650	2739
376	1655	2735
377	1659	2730
378	1663	2725
379	1667	2720
380	1671	2715
381	1675	2710
382	1679	2705
383	1683	2700
384	1687	2696
385	1692	2691
386	1696	2687
387	1700	2682
388	1704	2677
389	1708	2672
390	1712	2667
391	1717	2663
392	1721	2658
393	1725	2653
394	1729	2648
395	1733	2644
396	1737	2639
397	1742	2634
398	1746	2630
399	1750	2625
400	1754	2620
401	1758	2615
402	1762	2611
403	1766	2606
404	1770	2601
405	1774	2596
406	1780	2594
407	1787	2594
408	1799	2599
409	1803	2595
410	1808	2591
411	1812	2586
412	1816	2582
413	1821	2577
414	1825	2572
415	1829	2567
416	1834	2564
417	1838	2560
418	1842	2555
419	1846	2550
420	1851	2545
421	1855	2541
422	1859	2536
423	1863	2531
424	1868	2527
425	1872	2522
426	1877	2519
427	1884	2518
428	1890	2516
429	1894	2511
430	1899	2507
431	1903	2502
432	1907	2497
