Recency,NumWebVisitsMonth,Response,Age,HasChildren,MaritalFlag,HigherEducation,IsHighIncome,IncomeLog,TotalSpentLog,AcceptedAnyCmp
58,7,1,68,0,0,1,0,10.970591974102547,7.388946097618437,0
38,5,0,71,1,0,1,0,10.743868690309933,3.332204510175204,0
26,4,0,60,0,1,1,1,11.179045864561353,6.655440350367647,0
26,6,0,41,1,1,1,0,10.190431852901,3.988984046564274,0
94,5,0,44,1,1,1,0,10.973254451090401,6.0473721790462776,0
16,6,0,58,1,1,1,0,11.043145810640238,6.57507584059962,0
34,6,0,54,1,0,1,0,10.92658575272702,6.381816017406098,0
32,8,0,40,1,1,1,0,10.417956531216918,5.135798437050261,0
19,9,1,51,1,1,1,0,10.320617692174794,3.8501476017100584,0
59,8,0,49,0,1,0,0,8.922791623969635,4.127134385045092,0
82,2,0,66,0,0,1,0,11.051429542337104,7.005789019253502,0
53,6,0,73,1,0,1,0,10.991291642487633,5.739792912179234,0
38,8,0,38,0,1,1,0,9.759848102334518,3.8501476017100584,0
23,3,1,79,0,0,1,1,11.324195417595107,7.182352111885263,1
51,8,0,45,1,1,1,0,10.641870970494749,4.574710978503383,0
20,7,0,79,0,1,1,0,10.539032102959615,5.762051382780177,0
91,5,0,76,1,1,1,1,11.251508751434526,7.48605261786314,1
86,6,0,40,1,0,0,0,10.428600622910189,4.897839799950911,0
41,8,0,43,0,1,1,0,10.519780686235853,5.75890177387728,0
63,8,0,76,1,1,1,0,10.978626485018594,6.880384082186005,1
0,4,0,71,1,1,1,0,11.087130090388813,6.300785794663244,0
69,8,0,74,1,1,1,0,10.613737640995735,6.09807428216624,0
89,7,0,56,0,0,1,0,9.83037908071549,4.330733340286331,0
4,7,0,49,1,1,1,0,10.884816680589505,5.552959584921617,0
26,3,0,36,1,1,1,0,10.554796597479278,4.882801922586371,0
96,2,0,60,0,1,1,1,11.345914106667005,7.422373700986824,1
34,5,0,36,0,0,1,0,9.30383071506352,3.4339872044851463,0
56,3,0,62,0,1,1,0,10.561551448966803,5.765191102784844,0
31,5,0,55,1,1,1,0,10.61026639832702,4.795790545596741,1
8,6,1,73,1,0,1,0,10.749591843760111,5.713732805509369,0
4,7,0,79,0,1,1,1,11.136892937545769,7.087573705557973,0
55,7,0,74,1,0,1,0,10.80750325353467,4.189654742026425,0
37,2,0,55,1,1,1,0,11.117717571314712,6.81783057145415,0
76,7,0,49,1,1,0,0,10.074031693706946,4.406719247264253,0
99,5,0,52,1,0,1,0,10.65561093819637,4.219507705176107,0
53,6,1,82,0,0,1,0,10.798534218740787,6.805722553416985,1
3,4,0,45,1,1,1,1,11.289931902407144,7.241366283322318,0
88,8,0,40,1,1,1,0,9.9311027195691,3.988984046564274,0
4,5,0,68,1,1,1,0,9.99857043378282,3.1354942159291497,0
19,5,0,50,1,1,1,0,8.922791623969635,3.4657359027997265,0
72,1,0,49,0,0,1,1,11.289056650716423,6.892641641172089,0
24,9,1,29,0,1,0,0,8.922791623969635,4.812184355372417,0
92,10,0,57,1,1,1,0,10.638951609723101,4.025351690735149,0
39,8,0,71,1,1,1,1,11.19204504181486,7.1853870155804165,0
29,2,0,68,1,0,1,0,11.089606928642471,6.230481447578482,0
2,3,0,61,0,1,1,1,11.279024257003059,7.434847875211999,0
54,7,0,48,1,0,1,0,10.485451744135313,4.290459441148391,0
54,1,1,48,0,0,1,1,11.321559127189035,7.388946097618437,1
57,3,0,47,1,1,1,0,11.103060692517376,6.408528791059498,0
55,1,1,70,0,1,1,1,11.319158660491532,7.579678823090456,1
30,3,1,59,0,0,1,1,11.160356366215561,6.9975959829819265,0
31,3,0,37,1,0,1,0,10.237778841189767,3.4011973816621555,0
63,7,0,57,1,1,1,0,10.932303075252127,6.251903883165888,0
12,1,1,43,0,0,1,1,11.2355632920364,7.271703706887368,1
18,3,0,50,1,1,1,0,11.107270338809776,6.418364935936212,0
26,7,0,73,1,0,1,0,11.03204691757219,6.785587645007929,0
8,5,0,74,1,0,1,0,11.122560769584661,6.408528791059498,0
29,4,0,77,0,1,1,1,11.165733981956047,6.981934677156389,0
75,7,1,54,1,1,1,0,10.155101935826032,3.5553480614894135,0
0,7,0,58,1,1,1,0,10.3882258415388,2.4849066497880004,0
19,5,1,46,1,0,0,1,11.387305551045577,7.150701457592526,1
4,4,0,67,1,1,1,1,11.1432665934732,6.483107351457199,0
90,5,0,55,1,1,1,1,11.223308187883937,7.354362330421476,0
1,3,0,71,0,1,1,0,11.112328488258925,7.1340937211928654,0
29,7,0,66,1,1,1,0,11.082634735426408,6.761572768804055,0
88,7,0,50,1,1,1,0,11.012578085491864,6.495265555937008,1
58,2,0,73,0,1,1,0,10.251782482029256,4.189654742026425,0
68,6,0,48,1,0,1,0,10.60279074590741,2.6390573296152584,0
34,5,1,53,0,1,1,1,11.22859776033102,7.544861068658458,0
40,4,1,49,0,0,1,1,11.236196520732264,7.700747794511798,1
12,3,0,49,0,1,0,0,10.17835030752565,2.9444389791664403,0
9,8,1,60,0,1,1,0,10.933945903428256,6.541029999189903,1
87,8,0,40,1,0,1,0,10.300954090533025,5.111987788356543,0
5,7,0,56,1,1,1,0,10.177514314164908,2.833213344056216,0
87,7,0,52,1,1,0,0,10.067305637765523,4.382026634673881,0
18,1,0,38,0,0,1,1,11.306663612524535,6.658011045870748,0
95,7,0,65,1,1,1,0,10.290143539657238,4.04305126783455,0
48,7,0,55,1,1,1,0,10.495127893591837,5.0238805208462765,1
3,7,1,68,1,0,1,0,10.827528176270341,5.921578419643815,1
70,2,0,52,0,1,1,1,11.284693992107071,7.220373836723949,1
79,2,0,58,1,1,1,0,10.900048658473553,5.272999558563747,0
69,7,0,53,1,0,1,0,10.654785709738103,3.4965075614664802,0
84,5,0,55,1,1,1,0,10.070145404863474,3.784189633918261,0
30,6,0,42,1,1,1,0,10.312180777995717,3.828641396489095,0
72,6,0,65,1,0,1,0,10.77722562648903,6.408528791059498,1
37,7,0,53,1,0,1,0,10.855415662001414,4.1588830833596715,0
44,2,0,74,0,1,0,1,11.27082842573893,6.88653164253051,1
32,5,0,42,0,1,1,0,10.822793733370741,6.018593214496234,0
0,8,0,65,1,0,0,0,10.775282884523719,4.290459441148391,0
43,6,0,66,1,0,1,0,10.450307536525495,4.025351690735149,0
59,5,0,46,1,1,1,1,11.358538090466329,7.064759027791801,0
68,4,0,80,0,1,1,0,11.095089148047066,7.02197642307216,0
35,1,1,66,0,1,1,1,11.375913737285305,7.001245622069476,0
94,5,0,46,1,1,0,0,10.11029844922944,3.4011973816621555,0
15,7,0,61,1,1,1,0,10.80155321211961,5.236441962829949,0
56,6,0,56,1,1,1,0,10.866929010196614,6.814542897259958,0
17,7,0,47,1,0,1,0,10.559918880159413,4.983606621708336,0
18,2,0,65,0,1,1,1,11.397054350427297,6.746412128573374,0
46,3,0,46,1,1,1,1,11.255436297881227,6.877296071497428,0
40,9,1,34,0,0,1,0,11.129128889332778,7.5071410797276075,1
27,6,0,62,1,1,1,0,10.955863912197044,6.411818267709897,1
95,3,1,34,0,0,1,1,11.362544338109172,6.594413459749778,1
19,7,0,45,1,1,1,0,10.691376569605758,6.313548046277095,0
27,6,0,63,1,0,1,0,10.835376005033337,4.74493212836325,0
25,1,0,55,0,1,1,1,11.416040045126518,7.45298232946546,1
74,9,0,47,1,1,0,0,10.506463824584774,6.359573868672377,0
85,5,0,58,1,1,0,0,10.333775346075639,4.406719247264253,0
37,6,0,56,1,1,1,0,9.99510911958335,3.526360524616161,0
65,4,0,72,1,1,1,0,10.935425707936245,6.493753839851686,0
13,5,1,58,1,0,1,0,10.390778393168455,4.394449154672438,0
63,7,0,40,1,1,1,0,9.878733688069898,3.4339872044851463,0
83,7,0,49,1,0,1,0,10.341516651517555,3.784189633918261,0
69,2,1,42,0,0,1,1,11.532443738116108,7.035268599281096,1
87,1,0,60,0,1,0,1,11.177298870692718,6.327936783729195,0
37,1,1,41,0,0,1,1,11.284869869294997,7.562161631225652,0
51,6,0,72,1,1,1,0,10.903181493116056,4.51085950651685,0
72,4,0,69,1,1,1,1,11.256444857795005,6.495265555937008,0
10,5,0,73,1,1,1,0,11.050874132231819,6.139884552226255,0
42,8,0,67,1,0,1,0,11.02405700855628,6.450470422144176,0
10,4,0,56,0,1,1,1,11.204346566805462,6.587550014824796,0
51,8,0,61,1,1,1,0,10.63470093390253,5.634789603169249,0
21,3,0,58,0,1,1,0,11.050604250263852,7.301822342137932,1
31,8,0,49,1,0,0,0,9.164191715950203,3.4011973816621555,0
61,8,0,66,1,1,1,0,10.427120807321092,4.672828834461906,0
37,5,1,52,1,0,1,0,10.487405632994514,3.912023005428146,1
74,7,0,60,1,0,1,0,10.516562858330515,3.6635616461296463,0
46,2,0,33,0,0,1,1,11.438848261573913,7.639161171659173,0
4,7,1,49,1,1,1,0,11.083756630162828,6.960347729101308,0
73,2,0,63,0,1,1,1,11.363404053526631,7.234177179749849,0
47,6,0,51,1,0,1,1,11.132440732922605,6.77078942390898,0
13,7,0,37,1,1,1,0,10.642659171407352,5.746203190540153,0
36,8,0,49,1,1,1,0,10.998928150038603,6.777646593635116,0
47,6,1,50,1,1,1,0,10.084057576291276,4.23410650459726,0
49,8,0,44,1,1,1,0,10.559659496971177,3.1354942159291497,0
94,8,0,52,1,1,0,0,10.482597797038709,5.356586274672012,0
65,3,0,59,0,1,1,0,10.811867073138947,4.852030263919617,0
59,3,0,72,1,1,1,0,10.991291642487633,6.13122648948314,0
96,6,0,56,1,1,1,0,11.093584531326416,6.133398042996649,1
28,7,0,53,1,1,0,0,10.743868690309933,6.063785208687608,0
12,6,0,37,1,0,1,0,10.439308182191418,4.499809670330265,0
57,5,0,73,1,1,1,0,11.018809454767185,6.92951677076365,0
10,4,1,76,0,1,1,1,11.147253021804348,7.231287004327615,1
4,7,0,67,1,0,1,0,10.81913807952286,5.726847747587197,0
49,4,0,47,1,0,1,0,11.005427631296913,2.9444389791664403,0
3,2,0,48,1,1,1,0,10.921901565875125,5.093750200806762,0
64,1,0,70,0,0,1,1,11.293749034217129,7.116394144093465,0
0,7,0,67,1,0,1,0,10.326268538409524,2.6390573296152584,0
20,6,0,80,0,1,1,1,11.161337560080053,7.44249272279444,0
91,8,0,41,1,1,1,0,10.053156777054832,4.804021044733257,0
9,2,0,50,0,0,1,1,11.214061103115878,7.165493475060845,0
83,6,0,59,1,1,1,0,10.680125336095056,4.48863636973214,0
27,3,0,72,0,0,1,0,11.043753489804349,6.045005314036011,1
63,4,0,66,0,0,1,0,10.865382426215298,5.560681631015528,1
46,1,0,37,0,0,1,0,11.11173122371271,7.0192966537150445,0
84,5,0,68,1,1,1,0,10.169384032915985,4.499809670330265,0
58,7,0,60,1,1,1,0,10.4180163112265,3.6109179126442243,0
78,8,0,43,1,1,1,0,10.265314203614462,4.060443010546419,0
4,6,0,55,1,1,1,0,10.828698381784841,5.003946305945459,0
17,5,0,66,1,1,1,0,10.888146961128205,4.543294782270004,0
77,4,0,58,1,0,1,0,10.860440266129173,4.787491742782046,1
56,5,0,50,1,1,1,1,11.295117653245537,7.515344571180435,0
79,4,1,77,0,1,1,1,11.336641644308502,7.1846291527173145,1
90,7,0,55,1,1,1,0,10.567566310598725,3.828641396489095,0
96,2,0,66,1,1,1,0,10.552839573096401,2.3978952727983707,0
81,5,0,49,1,1,1,0,10.852264835444581,5.2574953720277815,0
77,6,0,37,1,1,0,0,9.695786647402777,4.060443010546419,0
21,2,0,79,0,1,1,0,11.109997136514034,6.9411900550683745,0
16,6,0,41,1,1,1,0,10.324760390849805,4.204692619390966,0
80,6,0,64,0,1,0,0,10.248848736574587,3.784189633918261,0
45,9,0,42,1,1,1,0,10.137452342481922,3.9318256327243257,0
63,5,0,55,1,0,1,0,10.382946340552618,3.6888794541139363,0
34,5,0,59,1,1,1,0,11.023323027655763,6.411818267709897,0
14,2,0,49,0,1,1,1,11.212752370173657,7.366445148327599,0
13,7,0,61,1,1,1,0,10.731165626053679,4.23410650459726,0
