iter	Passed	Remaining
0	0	463
1	2	577
2	3	602
3	4	603
4	5	549
5	6	567
6	8	575
7	9	578
8	10	583
9	11	583
10	13	585
11	14	576
12	15	576
13	16	579
14	17	578
15	19	579
16	20	578
17	21	578
18	22	578
19	24	578
20	25	577
21	26	578
22	27	577
23	29	576
24	30	577
25	31	577
26	32	576
27	34	576
28	35	574
29	36	572
30	37	574
31	39	572
32	40	571
33	41	570
34	42	568
35	44	567
36	45	565
37	46	564
38	47	564
39	48	562
40	50	562
41	51	561
42	52	561
43	54	561
44	55	560
45	56	560
46	58	559
47	59	558
48	60	557
49	61	556
50	63	555
51	64	554
52	65	553
53	66	552
54	68	550
55	69	549
56	70	548
57	71	547
58	73	546
59	74	544
60	75	543
61	76	541
62	78	541
63	79	540
64	80	539
65	81	537
66	82	536
67	84	534
68	85	533
69	86	532
70	87	530
71	89	529
72	90	528
73	91	526
74	92	525
75	93	524
76	95	523
77	96	523
78	97	521
79	99	520
80	100	519
81	101	518
82	102	516
83	104	515
84	105	514
85	106	513
86	107	512
87	109	510
88	110	509
89	111	508
90	112	507
91	114	506
92	115	505
93	116	503
94	117	502
95	119	500
96	120	499
97	121	498
98	122	496
99	123	495
100	125	493
101	126	492
102	127	491
103	128	489
104	129	488
105	131	487
106	132	486
107	133	484
108	134	483
109	136	482
110	137	481
111	138	480
112	139	479
113	141	477
114	142	476
115	143	475
116	144	474
117	146	472
118	147	471
119	148	470
120	149	469
121	151	468
122	152	466
123	153	465
124	154	464
125	155	463
126	157	461
127	158	460
128	159	459
129	160	458
130	162	456
131	163	455
132	164	454
133	165	453
134	167	451
135	168	450
136	169	449
137	170	448
138	172	447
139	173	445
140	174	444
141	175	443
142	177	442
143	178	441
144	180	440
145	181	439
146	183	439
147	184	438
148	185	437
149	187	436
150	188	435
151	189	433
152	190	432
153	191	431
154	193	429
155	194	429
156	195	427
157	197	426
158	198	425
159	199	423
160	200	421
161	201	420
162	202	419
163	204	418
164	205	416
165	206	415
166	207	414
167	209	413
168	210	411
169	211	410
170	212	409
171	214	408
172	215	407
173	216	406
174	218	405
175	219	404
176	220	402
177	221	401
178	223	400
179	224	399
180	225	397
181	226	396
182	228	395
183	229	393
184	230	392
185	231	391
186	233	390
187	234	388
188	235	387
189	236	386
190	238	385
191	239	383
192	240	382
193	241	381
194	243	380
195	244	379
196	245	377
197	246	376
198	248	375
199	249	374
200	250	372
201	251	371
202	253	370
203	254	369
204	255	368
205	256	366
206	258	365
207	259	364
208	260	362
209	261	361
210	263	360
211	264	359
212	265	357
213	266	356
214	267	355
215	269	353
216	270	352
217	271	351
218	272	350
219	274	348
220	275	347
221	276	346
222	277	345
223	279	343
224	280	342
225	281	341
226	282	340
227	283	338
228	285	337
229	286	336
230	287	334
231	288	333
232	290	332
233	291	331
234	292	329
235	293	328
236	295	327
237	296	326
238	297	324
239	298	323
240	299	322
241	301	321
242	302	319
243	303	318
244	304	317
245	305	315
246	307	314
247	308	313
248	309	312
249	310	310
250	312	309
251	313	308
252	314	307
253	315	306
254	317	304
255	318	303
256	319	302
257	320	300
258	322	299
259	323	298
260	324	297
261	325	295
262	326	294
263	328	293
264	329	292
265	330	290
266	332	289
267	333	288
268	334	287
269	335	286
270	337	284
271	338	283
272	339	282
273	340	281
274	342	279
275	343	278
276	344	277
277	345	276
278	347	274
279	348	273
280	349	272
281	350	271
282	352	269
283	353	268
284	354	267
285	355	266
286	357	265
287	358	263
288	359	262
289	360	261
290	361	259
291	363	258
292	364	257
293	365	256
294	366	254
295	368	253
296	369	252
297	370	251
298	371	250
299	373	248
300	374	247
301	375	246
302	377	245
303	378	243
304	379	242
305	380	241
306	382	240
307	383	238
308	384	237
309	385	236
310	387	235
311	388	233
312	389	232
313	390	231
314	392	230
315	393	229
316	394	227
317	395	226
318	397	225
319	398	224
320	399	222
321	400	221
322	402	220
323	403	219
324	404	217
325	405	216
326	406	215
327	408	214
328	409	212
329	410	211
330	411	210
331	412	208
332	414	207
333	415	206
334	416	205
335	417	203
336	420	203
337	421	202
338	422	200
339	424	199
340	425	198
341	426	197
342	427	195
343	430	195
344	431	193
345	432	192
346	433	191
347	435	190
348	436	188
349	437	187
350	438	186
351	440	185
352	441	183
353	442	182
354	443	181
355	444	179
356	446	178
357	447	177
358	448	176
359	449	174
360	451	173
361	452	172
362	453	171
363	454	169
364	456	168
365	457	167
366	458	166
367	460	165
368	461	163
369	462	162
370	463	161
371	465	160
372	466	158
373	467	157
374	468	156
375	470	155
376	471	153
377	472	152
378	473	151
379	474	149
380	476	148
381	477	147
382	478	146
383	479	144
384	481	143
385	482	142
386	483	141
387	484	139
388	485	138
389	487	137
390	488	136
391	489	134
392	490	133
393	492	132
394	493	131
395	494	129
396	495	128
397	496	127
398	498	126
399	499	124
400	500	123
401	501	122
402	503	121
403	504	119
404	505	118
405	506	117
406	507	116
407	509	114
408	510	113
409	511	112
410	512	111
411	514	109
412	515	108
413	516	107
414	517	106
415	519	104
416	520	103
417	521	102
418	523	101
419	524	99
420	526	98
421	527	97
422	529	96
423	530	95
424	531	93
425	532	92
426	534	91
427	535	90
428	536	88
429	537	87
430	539	86
431	540	85
432	543	84
433	544	82
434	550	82
435	552	81
436	554	79
437	555	78
438	562	78
439	564	76
440	566	75
441	573	75
442	574	73
443	576	72
444	578	71
445	585	70
446	587	69
447	589	68
448	590	67
449	597	66
450	599	65
451	601	63
452	603	62
453	608	61
454	610	60
455	612	59
456	619	58
457	621	56
458	623	55
459	624	54
460	631	53
461	633	52
462	635	50
463	637	49
464	644	48
465	646	47
466	647	45
467	655	44
468	658	43
469	660	42
470	662	40
471	663	39
472	670	38
473	672	36
474	674	35
475	675	34
476	682	32
477	684	31
478	686	30
479	688	28
480	694	27
481	696	26
482	698	24
483	700	23
484	707	21
485	708	20
486	710	18
487	715	17
488	719	16
489	721	14
490	722	13
491	729	11
492	731	10
493	733	8
494	735	7
495	741	5
496	743	4
497	745	2
498	747	1
499	754	0
